Date,MKPRU,MKPRUPNZ
31/8/2021,-0.035487078,N
30/8/2021,-0.001858372,N
29/8/2021,-0.003245418,N
28/8/2021,0.04458976,P
27/8/2021,-0.041029288,N
26/8/2021,0.025709934,P
25/8/2021,-0.035920725,N
24/8/2021,0.003806981,P
23/8/2021,0.008249404,P
22/8/2021,-0.008022462,N
21/8/2021,0.055485598,P
20/8/2021,0.043699945,P
19/8/2021,0.002895725,P
18/8/2021,-0.02901057,N
17/8/2021,-0.022820695,N
16/8/2021,-0.001183982,N
15/8/2021,-0.015089482,N
14/8/2021,0.076910643,P
13/8/2021,-0.026170616,N
12/8/2021,6.78E-05,P
11/8/2021,-0.015649382,N
10/8/2021,0.057451889,P
9/8/2021,-0.018326559,N
8/8/2021,0.042221597,P
7/8/2021,0.047550267,P
6/8/2021,0.028474365,P
5/8/2021,0.042271226,P
4/8/2021,-0.02694141,N
3/8/2021,-0.020162768,N
2/8/2021,-0.039813668,N
1/8/2021,-0.013149382,N
31/7/2021,0.055197317,P
30/7/2021,8.50E-05,P
29/7/2021,0.015139338,P
28/7/2021,0.05594625,P
27/7/2021,0.055222083,P
26/7/2021,0.031676806,P
25/7/2021,0.020776538,P
24/7/2021,0.039746869,P
23/7/2021,0.005599031,P
22/7/2021,0.078140357,P
21/7/2021,-0.033284722,N
20/7/2021,-0.030441906,N
19/7/2021,0.008338341,P
18/7/2021,0.003163782,P
17/7/2021,-0.009998554,N
16/7/2021,-0.032790882,N
15/7/2021,0.003917512,P
14/7/2021,-0.014225419,N
13/7/2021,-0.031243463,N
12/7/2021,0.021245946,P
11/7/2021,-0.008958109,N
10/7/2021,0.028624822,P
9/7/2021,-0.028417768,N
8/7/2021,-0.010872816,N
7/7/2021,0.013720529,P
6/7/2021,-0.044218662,N
5/7/2021,0.017882336,P
4/7/2021,0.024577589,P
3/7/2021,0.009541138,P
2/7/2021,-0.043098253,N
1/7/2021,-0.022326119,N
30/6/2021,0.040370413,P
29/6/2021,-0.005420204,N
28/6/2021,0.077222317,P
