Date,Value
2022-03-23,-0.026845637583893
2022-03-22,-0.026143790849673
2022-03-21,-0.0064935064935065
2022-03-20,-0.0064516129032257
2022-03-19,0.083916083916084
2022-03-18,-0.10285614037377
2022-03-17,0.024709112081329
2022-03-16,0.11510791366906
2022-03-15,-0.091503267973856
2022-03-14,0.013245033112583
2022-03-13,-0.032051282051282
2022-03-12,0.1304347826087
2022-03-11,-0.048275862068966
2022-03-10,0.05072463768116
2022-03-09,-0.067567567567568
2022-03-08,0.0
2022-03-07,0.12977099236641
2022-03-06,0.065040650406504
2022-03-05,-0.11510791366906
2022-03-04,-0.070972659766189
2022-03-03,0.083742197956768
2022-03-02,-0.16049382716049
2022-03-01,0.051948051948052
2022-02-28,0.13235294117647
2022-02-27,0.088
2022-02-26,-0.067164179104477
2022-02-25,0.015151515151515
2022-02-24,-0.12
2022-02-23,-0.013157894736842
2022-02-22,0.23577235772358
2022-02-21,-0.14583333333333
2022-02-20,-0.033557046979866
2022-02-19,0.11194029850746
2022-02-18,-0.12643177078508
2022-02-17,0.03032562021972
2022-02-16,-0.10857142857143
2022-02-15,0.1437908496732
2022-02-14,-0.031645569620253
2022-02-13,-0.15508021390374
2022-02-12,0.3169014084507
2022-02-11,-0.034013605442177
2022-02-10,0.05
2022-02-09,-0.090909090909091
2022-02-08,0.13235294117647
2022-02-07,-0.12820512820513
2022-02-06,0.3109243697479
2022-02-05,-0.084415515140821
2022-02-04,-0.1142683197679
2022-02-03,-0.03921568627451
2022-02-02,-0.0064935064935065
2022-02-01,0.076923076923077
2022-01-31,-0.020547945205479
2022-01-30,-0.020134228187919
2022-01-29,-0.032467532467533
2022-01-28,0.17557251908397
2022-01-27,0.0076923076923079
2022-01-26,-0.14473684210526
2022-01-25,0.013333333333333
2022-01-24,0.063829787234043
2022-01-23,0.05223880597015
2022-01-22,0.011584040492542
2022-01-21,-0.14313316426384
2022-01-20,-0.023121387283237
2022-01-19,0.27205882352941
2022-01-18,-0.15527950310559
2022-01-17,-0.08
2022-01-16,0.05421686746988
2022-01-15,0.044025157232705
2022-01-14,-0.11173184357542
2022-01-13,0.28776978417266
2022-01-12,-0.12025316455696
2022-01-11,0.11267605633803
2022-01-10,0.0070921985815603
2022-01-09,-0.019609818445308
2022-01-08,0.031500766780711
2022-01-07,-0.041095890410959
2022-01-06,-0.026666666666667
2022-01-05,0.020408163265306
2022-01-04,0.05
2022-01-03,-0.11392405063291
2022-01-02,-0.081395348837209
2022-01-01,0.15436241610738
2021-12-31,0.25210084033613
2021-12-30,-0.17931034482759
2021-12-29,0.082089552238806
2021-12-28,-0.094594594594595
2021-12-27,0.1044776119403
2021-12-26,-0.08731202982582
2021-12-25,-0.024592139958843
2021-12-24,-0.006578947368421
2021-12-23,0.027027027027027
2021-12-22,-0.080745341614907
2021-12-21,0.11805555555556
2021-12-20,-0.033557046979866
2021-12-19,0.1640625
2021-12-18,-0.14093959731544
2021-12-17,0.29565217391304
2021-12-16,-0.18439716312057
2021-12-15,-0.047297297297297
2021-12-14,0.049645390070922
2021-12-13,0.0071428571428573
2021-12-12,-0.044142285925868
2021-12-11,0.017049732119225
2021-12-10,-0.042944785276073
2021-12-09,-0.029761904761905
2021-12-08,0.090909090909091
2021-12-07,-0.1046511627907
2021-12-06,0.036144578313253
2021-12-05,0.070967741935484
2021-12-04,-0.077380952380953
2021-12-03,0.083870967741936
2021-12-02,0.13138686131387
2021-12-01,0.022388059701493
2021-11-30,-0.062937062937063
2021-11-29,0.022866457684479
2021-11-28,-0.036949952423852
2021-11-27,0.083333333333334
2021-11-26,0.015384615384615
2021-11-25,-0.17197452229299
2021-11-24,0.18939393939394
2021-11-23,-0.063829787234042
2021-11-22,0.068181818181818
2021-11-21,-0.089655172413793
2021-11-20,0.058394160583942
2021-11-19,-0.048611111111111
2021-11-18,-0.033557046979866
2021-11-17,-0.0066666666666668
2021-11-16,-0.0066225165562913
2021-11-15,-0.027963928129154
2021-11-14,0.062891173633808
2021-11-13,0.077464788732394
2021-11-12,-0.10126582278481
2021-11-11,0.060402684563758
2021-11-10,-0.019736842105263
2021-11-09,0.12592592592593
2021-11-08,-0.11764705882353
2021-11-07,-0.0064935064935065
2021-11-06,-0.0064516129032257
2021-11-05,0.083916083916084
2021-11-04,-0.11180124223602
2021-11-03,0.018987341772152
2021-11-02,0.067567567567568
2021-11-01,0.13679370026665
2021-10-31,-0.09410729740027
2021-10-30,-0.093567251461988
2021-10-29,0.11764705882353
2021-10-28,-0.025477707006369
2021-10-27,0.046666666666667
2021-10-26,-0.17582417582418
2021-10-25,0.18954248366013
2021-10-24,0.055172413793103
2021-10-23,-0.082278481012658
2021-10-22,0.067567567567567
2021-10-21,-0.0067114093959731
2021-10-20,-0.038709677419355
2021-10-19,0.055978516474197
2021-10-18,-0.073869301257652
2021-10-17,0.20300751879699
2021-10-16,-0.056737588652482
2021-10-15,0.029197080291971
2021-10-14,-0.18934911242604
2021-10-13,0.26119402985075
2021-10-12,-0.082191780821918
2021-10-11,-0.081761006289308
2021-10-10,0.06
2021-10-09,0.25
2021-10-08,-0.14893617021277
2021-10-07,0.076335877862595
2021-10-06,-0.20121951219512
2021-10-05,0.10016667979103
2021-10-04,0.04062843162418
2021-10-03,-0.20212765957447
2021-10-02,0.34285714285714
2021-10-01,-0.1812865497076
2021-09-30,0.31538461538462
2021-09-29,-0.14473684210526
2021-09-28,-0.019354838709677
2021-09-27,0.11510791366906
2021-09-26,-0.034722222222222
2021-09-25,-0.027027027027027
2021-09-24,-0.1030303030303
