Date,Value
2022-03-23,-0.0014627564075912
2022-03-22,0.017917602880975
2022-03-21,0.23446071423483
2022-03-20,-0.13149275649276
2022-03-19,-0.072302711638693
2022-03-18,-0.062704447632712
2022-03-17,0.0087195629364304
2022-03-16,0.050201764585186
2022-03-15,0.013813985022651
2022-03-14,0.24748668858005
2022-03-13,-0.075754614742303
2022-03-12,-0.10791138864345
2022-03-11,-0.035059815792593
2022-03-10,-0.041245578343505
2022-03-09,0.066598637062059
2022-03-08,0.0012918834486241
2022-03-07,0.2333233550281
2022-03-06,-0.080795842375988
2022-03-05,-0.14032758364142
2022-03-04,-0.022900791816406
2022-03-03,-0.07071714872669
2022-03-02,0.028588838130804
2022-03-01,0.035863250134727
2022-02-28,0.28297437063136
2022-02-27,-0.042005598326853
2022-02-26,-0.15332641929784
2022-02-25,0.024400033052778
2022-02-24,0.011397870858621
2022-02-23,-0.034541717096037
2022-02-22,0.096305001642783
2022-02-21,0.18384321938814
2022-02-20,-0.09125719956678
2022-02-19,-0.15468770948651
2022-02-18,0.021449840163084
2022-02-17,-0.042037123108985
2022-02-16,-0.024979625250801
2022-02-15,0.10513667646774
2022-02-14,0.18478110031247
2022-02-13,-0.084193366025532
2022-02-12,-0.11758154643361
2022-02-11,-0.0085041773224494
2022-02-10,-0.018776993574213
2022-02-09,-0.039898862199747
2022-02-08,0.056542280772724
2022-02-07,0.19543239840143
2022-02-06,-0.15252507287953
2022-02-05,0.043154557847273
2022-02-04,-0.065567715870719
2022-02-03,-0.048895101887198
2022-02-02,0.021982973361076
2022-02-01,0.036346380167799
2022-01-31,0.27144946493993
2022-01-30,-0.1032946961106
2022-01-29,-0.12687021227547
2022-01-28,0.033931815961708
2022-01-27,-0.019707358179798
2022-01-26,-0.015305814549953
2022-01-25,-0.020627087088862
2022-01-24,0.32711068406655
2022-01-23,-0.18501442303851
2022-01-22,-0.080977279069426
2022-01-21,0.0039924059499014
2022-01-20,0.0034438879312258
2022-01-19,0.019908925250041
2022-01-18,0.026791559651508
2022-01-17,0.19426234437962
2022-01-16,-0.077747863448435
2022-01-15,-0.13477824292496
2022-01-14,-0.013234249494563
2022-01-13,0.0094949858972615
2022-01-12,-0.020759962261161
2022-01-11,0.041069493857383
2022-01-10,0.2693404015361
2022-01-09,-0.061526438013576
2022-01-08,-0.12319240663949
2022-01-07,-0.035930675464989
2022-01-06,-0.02666127758079
2022-01-05,-0.0087017017308701
2022-01-04,0.16930232161947
2022-01-03,0.19265994463211
2022-01-02,0.053689371313572
2022-01-01,-0.30684128515248
2021-12-31,0.10006897367981
2021-12-30,-0.11250964383899
2021-12-29,0.040166225859198
2021-12-28,0.063611008703736
2021-12-27,0.25670027294611
2021-12-26,-0.044412255838462
2021-12-25,-0.20249074127377
2021-12-24,-0.10703943467935
2021-12-23,0.011452538172239
2021-12-22,-0.053223853265204
2021-12-21,0.1414737756933
2021-12-20,0.29135202859921
2021-12-19,-0.13568173265878
2021-12-18,-0.092316742253174
2021-12-17,0.028449763081271
2021-12-16,-0.088568958709085
2021-12-15,0.010162608930015
2021-12-14,0.00023004122770128
2021-12-13,0.29516126028826
2021-12-12,-0.04839788599806
2021-12-11,-0.16818793182865
2021-12-10,-0.040314737865794
2021-12-09,0.062624478599076
2021-12-08,-0.077106085460719
2021-12-07,0.013625482041854
2021-12-06,0.32179282850014
2021-12-05,-0.15161585341817
2021-12-04,-0.12568113904025
2021-12-03,-0.073810656289803
2021-12-02,0.086120337560935
2021-12-01,-0.018558847949475
2021-11-30,-0.024630182179046
2021-11-29,0.40945791699412
2021-11-28,-0.11210795858099
2021-11-27,-0.17730014181004
2021-11-26,0.017909814397418
2021-11-25,-0.03818218922816
2021-11-24,0.05472104897301
2021-11-23,0.015173821933265
2021-11-22,0.25214735208501
2021-11-21,-0.10696088955826
2021-11-20,-0.12316354019226
2021-11-19,-0.031129728754845
2021-11-18,0.011973552808292
2021-11-17,-0.035579187188437
2021-11-16,0.043919773952537
2021-11-15,0.28756428112278
2021-11-14,-0.061256987688259
2021-11-13,-0.15392715450152
2021-11-12,-0.039555275569101
2021-11-11,-0.024449796528528
2021-11-10,-0.10251899907874
2021-11-09,0.17356178666648
2021-11-08,0.26391247435081
2021-11-07,-0.042775564802547
2021-11-06,-0.17385450399726
2021-11-05,-0.011049972158912
2021-11-04,0.0013679843183975
2021-11-03,-0.029105385975884
2021-11-02,0.014047912930217
2021-11-01,0.34882608595672
2021-10-31,-0.13737150927752
2021-10-30,-0.17555187042289
2021-10-29,0.034426406999641
2021-10-28,0.011789917634896
2021-10-27,-0.0065129630070503
2021-10-26,0.032840382183504
2021-10-25,0.34778903512925
2021-10-24,-0.056805140639722
2021-10-23,-0.22121022430882
2021-10-22,-0.10348783917342
2021-10-21,0.099138832060258
2021-10-20,-0.064755879468492
2021-10-19,0.093388186482016
2021-10-18,0.32186415790034
2021-10-17,-0.20058729429888
2021-10-16,-0.093012164731012
2021-10-15,0.054404833152137
2021-10-14,-0.022612108709798
2021-10-13,0.053841804818442
2021-10-12,-0.021518002455529
2021-10-11,0.32470946450692
2021-10-10,-0.14087956813668
2021-10-09,-0.12084148727984
2021-10-08,-0.14068891446107
2021-10-07,0.21709138035996
2021-10-06,-0.14330737382334
2021-10-05,0.16204569537655
2021-10-04,0.23310501026995
2021-10-03,-0.16098183958363
2021-10-02,-0.06165491152966
2021-10-01,-0.05470290779803
2021-09-30,0.21109462748615
2021-09-29,-0.077398471932045
2021-09-28,0.025086664087262
2021-09-27,0.30841174064226
2021-09-26,-0.080042337998354
