Date,MKPRU,MKPRUPNZN,MKPRUPNZ,MKTCP,TRFEE,TRFUS,NTRAN,NTREP,NTRBL,TOUTV,CPTRA,HRATE,MIREV,AVBLS,TRVOU,LTCPCUSD
26/2/2022,0.022892816,1,P,0.007729461,0.122156193,0.193128957,0.024400033,0.024714829,0.00911048,0.009368226,0.078945212,0.015151515,0.076901771,-0.015421402,2.450984229,0.048
25/2/2022,0.028245058,1,P,0.020734786,0.270429442,0.213784382,0.011397871,0.011054395,0.149315762,0.190766224,-0.183569268,-0.12,-0.152510622,0.266552264,-0.140034941,-0.0114
24/2/2022,-0.025369445,0,N,-0.009536283,-0.118587491,-0.105417068,-0.034541717,-0.034587902,-0.02166894,-0.243819055,0.02132813,-0.013157895,-0.019012316,-0.055197517,-0.242388708,-0.0186
23/2/2022,0.033244777,1,P,-0.005610911,-0.042166044,-0.059621431,0.096305002,0.09638722,-0.112858453,-0.046231113,0.114103901,0.235772358,0.227700244,-0.157852646,0.972731032,0.0437
22/2/2022,-0.035204751,0,N,-0.002651235,0.66821871,0.654017195,0.183843219,0.18394119,0.385962793,0.461903386,-0.278910801,-0.145833333,-0.146343442,0.44262158,1.33971226,-0.0696
21/2/2022,-0.043194013,0,N,-0.04289694,-0.166600391,-0.194105696,-0.0912572,-0.091308711,-0.05970363,0.058453395,0.029161538,-0.033557047,-0.064756862,-0.14069898,-0.694370785,-0.0433
20/2/2022,0.002511586,1,P,-0.002130204,-0.269898363,-0.275693759,-0.154687709,-0.154736087,-0.239786262,-0.178183828,0.299497613,0.111940299,0.098481303,-0.18873947,-0.184629923,0.0061
19/2/2022,-0.013586358,0,N,-0.012857172,-0.050838971,-0.100567789,0.02144984,0.021426667,0.19677332,0.070332176,-0.211594435,-0.126431771,-0.194683261,0.208609006,0.885414168,-0.012
18/2/2022,-0.076978649,0,N,-0.082924815,-0.016781008,-0.070017858,-0.042037123,-0.042169105,-0.048138797,-0.063581883,0.02820394,0.03032562,-0.031945989,0.009228646,-0.262897554,-0.0886
17/2/2022,-0.013189046,0,N,0.006594082,-0.191713155,-0.170213263,-0.024979625,-0.02496851,0.093772856,0.1423215,-0.087863858,-0.108571429,-0.095097663,-0.042202221,0.253314566,-0.0311
16/2/2022,0.045918667,1,P,0.045577731,0.118144642,0.160983767,0.105136676,0.105540983,-0.033794791,-0.134496125,0.075314336,0.14379085,0.188369312,0.048417518,1.071465933,0.0578
15/2/2022,0.011306288,1,P,-0.004083393,0.281757247,0.279714459,0.1847811,0.184618262,0.223499437,0.203545518,-0.183511141,-0.03164557,-0.032639431,0.165393335,-0.354432028,-0.0088
14/2/2022,-0.003329817,0,N,0.007231118,-0.296483482,-0.296547626,-0.084193366,-0.08418057,0.083897725,0.032007475,-0.078460961,-0.155080214,-0.156048435,-0.301101299,-0.564560277,-0.0087
13/2/2022,-0.003672296,0,N,-0.011957592,-0.26074354,-0.276831134,-0.117581546,-0.117841452,-0.329928233,-0.186941054,0.435077374,0.316901408,0.264026707,-0.148839502,-0.3052163,0.0072
12/2/2022,-0.025954771,0,N,-0.049725025,-0.144922942,-0.167090879,-0.008504177,-0.008283578,0.026407647,-0.268555588,-0.042907988,-0.034013605,-0.049311525,0.099137675,0.724580323,-0.0654
11/2/2022,-0.01950997,0,N,0.015314979,0.343088683,0.356287962,-0.018776994,-0.018826244,-0.065501899,-0.005625336,0.070136428,0.05,0.048898104,-0.016862564,-0.265945225,-0.0393
10/2/2022,0.005982334,1,P,0.025430241,0.005224128,-0.000870544,-0.039898862,-0.039878966,0.056111252,-0.549350918,-0.030475849,-0.090909091,-0.086075061,0.11325062,-0.090036314,0.0494
9/2/2022,0.006827117,1,P,-0.02118913,-0.00294255,0.018723444,0.056542281,0.0565309,-0.066949674,1.533637964,0.080984869,0.132352941,0.16451518,0.040199493,1.856549368,-0.0263
8/2/2022,0.032579695,1,P,0.055912373,0.416671975,0.47704008,0.195432398,0.195906981,0.371231281,0.549207285,-0.238829524,-0.128205128,-0.090072152,0.122889982,-0.326532062,0.0745
7/2/2022,0.024509218,1,P,0.000745427,-0.273231284,-0.272486367,-0.152525073,-0.153058695,-0.353528741,-0.137138417,0.535794213,0.31092437,0.301547089,-0.239409651,-0.541553531,0.0476
6/2/2022,-0.003577321,0,N,0.021215288,0.012256428,0.071893589,0.043154558,0.043475801,0.139580609,-0.211893939,-0.052150868,-0.084415515,-0.011246858,0.177824337,1.794605201,0.0041
5/2/2022,0.121097314,1,P,0.104759753,0.31456835,0.379468853,-0.065567716,-0.065795485,0.056627275,0.241460394,-0.001388582,-0.11426832,-0.081606263,0.025520018,-0.225674193,0.0938
4/2/2022,0.004868788,1,P,-0.006434466,-0.135225005,-0.15075643,-0.048895102,-0.048804051,-0.010074494,0.081952972,-0.026557862,-0.039215686,-0.059293795,-0.00689969,-0.221941365,0.024
3/2/2022,-0.047162423,0,N,-0.044725642,-0.165123996,-0.176490405,0.021982973,0.022199543,0.028662601,-0.144017005,-0.042622225,-0.006493506,-0.021576215,-0.109370322,0.177742779,-0.0591
2/2/2022,0.005657837,1,P,0.00360126,0.129151514,0.155731268,0.03634638,0.036282223,-0.037678361,-0.008948829,0.065420942,0.076923077,0.104145137,-0.061770374,1.636222465,0.0521
1/2/2022,0.015906961,1,P,0.024107324,0.234320288,0.226830995,0.271449465,0.271648001,0.29812323,0.04240268,-0.244448529,-0.020547945,-0.039572373,0.359743041,-0.406200446,0.0074
31/1/2022,-0.007014785,0,N,-0.012615996,-0.144352525,-0.141400662,-0.103294696,-0.103446032,-0.084869245,-0.035305806,0.109986908,-0.020134228,-0.004443048,0.00370121,-0.416689746,-0.0199
30/1/2022,0.01102299,1,P,0.00732502,-0.016162361,0.004324816,-0.126870212,-0.12697992,-0.097570555,-0.079287017,0.131084482,-0.032467532,-0.012416447,-0.12184098,-0.265586512,0.0119
29/1/2022,0.01677935,1,P,0.064954166,0.075810571,0.094283844,0.033931816,0.03411427,-0.120486572,0.064110288,0.156132401,0.175572519,0.195362073,-0.061026189,-0.218096155,0.0234
28/1/2022,0.008781077,1,P,-0.055698105,-0.028265172,-0.066414552,-0.019707358,-0.019778912,-0.027190508,-0.038229044,-0.004873122,0.007692308,-0.035910093,0.020936421,0.520966391,0.0019
27/1/2022,-0.003391449,0,N,0.020315575,0.104766716,0.145162016,-0.015305815,-0.015255173,0.15133474,-0.268723192,-0.103155438,-0.144736842,-0.106416347,0.156202178,-0.608132558,-0.0102
26/1/2022,0.007360924,1,P,-0.007217314,-0.067476202,-0.034118261,-0.020627087,-0.020601116,-0.033513573,-0.158984538,0.063133433,0.013333333,0.037204113,-0.1177748,1.865128485,-0.0146
25/1/2022,0.010969984,1,P,0.069561989,0.51439219,0.50790889,0.327110684,0.327209838,0.247484043,0.180917678,-0.193505851,0.063829787,0.074434638,0.256567971,-0.423358248,-0.0249
24/1/2022,0.034483624,1,P,0.007305947,-0.310453242,-0.31166314,-0.185014423,-0.184873546,-0.2254747,-0.10490025,0.283032216,0.052238806,0.045652751,-0.294155922,-0.407819653,0.0369
23/1/2022,-0.038634516,0,N,-0.098787454,-0.082497292,-0.157426553,-0.080977279,-0.081098288,-0.080977279,0.234387339,-0.006531853,0.01158404,-0.0869802,-0.027863857,1.60405218,-0.0558
22/1/2022,-0.10332137,0,N,-0.109784005,0.221538547,0.11096813,0.003992406,0.003782674,0.266229228,0.464299912,-0.288801566,-0.143133164,-0.29131263,0.374564368,0.317681835,-0.1163
21/1/2022,-0.024538067,0,N,0.02597796,0.148218137,0.144490675,0.003443888,0.003558877,0.027194039,-0.062599568,0.003810599,-0.023121387,-0.005446712,0.027476728,0.082734865,-0.047
20/1/2022,-0.015894443,0,N,-0.008981874,-0.086118015,-0.071047461,0.019908925,0.019891337,-0.198221885,-0.134719465,0.244488636,0.272058824,0.295196511,-0.175128541,0.31064468,-0.0368
19/1/2022,0.003151129,1,P,-0.016272129,0.042538424,0.015159199,0.02679156,0.026791052,0.215540008,0.170599728,-0.196060736,-0.155279503,-0.174521949,0.088309115,0.438003198,-0.0642
18/1/2022,-0.019815352,0,N,-0.000967779,0.427647492,0.426188626,0.194262344,0.194413403,0.298111244,-0.015788246,-0.227979673,-0.08,-0.078005195,0.444000479,-0.035235325,0.0321
17/1/2022,-0.001021867,0,N,0.001152387,-0.142927344,-0.141989521,-0.077747863,-0.077844388,-0.125177973,-0.042854581,0.142819106,0.054216867,0.053967362,-0.09876805,-0.486839244,-0.0088
16/1/2022,0.001094216,1,P,0.013045418,-0.231739037,-0.221754781,-0.134778243,-0.134878387,-0.171263498,0.019844351,0.219226567,0.044025157,0.054901352,-0.257375401,-0.201237692,0.0207
15/1/2022,0.012995917,1,P,-0.031349208,-0.073616495,-0.102710918,-0.013234249,-0.013102653,0.110887229,-0.094876669,-0.127744297,-0.111731844,-0.139287947,0.211260426,-0.110721185,0.0601
14/1/2022,-0.031406456,0,N,0.028206268,-0.104871755,-0.079674584,0.009494986,0.009434171,-0.216090486,-0.080145723,0.306269847,0.287769784,0.318672861,-0.258570531,-0.072595954,-0.0381
13/1/2022,0.028149231,1,P,0.020940648,-0.004244637,0.016560128,-0.020759962,-0.020711458,0.113092993,-0.36885879,-0.081414461,-0.120253165,-0.100484262,0.155115489,-0.23144048,0.0791
12/1/2022,0.02089345,1,P,-0.000322593,0.022188719,0.021811726,0.041069494,0.041018127,-0.064355265,1.150320523,0.067280318,0.112676056,0.111112981,-0.125013434,1.344819236,0.0395
11/1/2022,-0.000368809,0,N,0.004216536,0.456475454,0.462537038,0.269340402,0.269591804,0.260401385,0.291707076,-0.200155036,0.007092199,0.015275528,0.364241693,-0.164669141,-0.0329
10/1/2022,0.004161816,1,P,0.003961204,-0.188634144,-0.185451635,-0.061526438,-0.061593895,-0.041558915,-0.059397403,0.045540559,-0.019609818,-0.018787828,-0.094044448,-0.551617635,0.0108
